Time (s),Main Avg Current (mA),Main Avg Voltage (V)
1.6140,0.012,2.9975
1.6160,0.016,2.9975
1.6180,0.012,2.9975
1.6200,0.01,2.9985
1.6220,0.016,2.9975
1.6240,0.012,2.9975
1.6260,0.012,2.9975
1.6280,0.012,2.9975
1.6300,0.004,2.9975
1.6320,0.01,2.9975
1.6340,0.012,2.9975
1.6360,0.016,2.9985
1.6380,0.016,2.9975
1.6400,0.016,2.9975
1.6420,0.012,2.9975
1.6440,0.016,2.9975
1.6460,0.016,2.9975
1.6480,0.016,2.997
1.6500,0.012,2.9975
1.6520,0.016,2.997
1.6540,0.008,2.9985
1.6560,0.01,2.9975
1.6580,0.01,2.9975
1.6600,0.01,2.9975
1.6620,0.008,2.9975
1.6640,0.016,2.9975
1.6660,0.206,2.9985
1.6680,0.01,2.9975
1.6700,0.012,2.997
1.6720,0.018,2.9985
1.6740,0.012,2.9975
1.6760,0.016,2.9985
1.6780,0.016,2.9975
1.6800,0.018,2.9975
1.6820,0.012,2.9975
1.6840,0.018,2.997
1.6860,0.012,2.997
1.6880,0.02,2.9985
1.6900,0.012,2.9975
1.6920,0.01,2.9985
1.6940,0.012,2.9985
1.6960,0.012,2.9975
1.6980,0.004,2.997
1.7000,0.016,2.997
1.7020,0.002,2.9975
1.7040,0.01,2.997
1.7060,0.01,2.997
1.7080,0.012,2.9975
1.7100,0.016,2.9975
1.7120,0.018,2.9975
1.7140,0.016,2.9975
1.7160,0.004,2.9975
1.7180,0.01,2.9975
1.7200,0.012,2.9985
1.7220,0.012,2.9985
1.7240,0.01,2.997
1.7260,0.012,2.9975
1.7280,0.012,2.9975
1.7300,0.018,2.9985
1.7320,0.02,2.9985
1.7340,0.016,2.9985
1.7360,0.012,2.9985
1.7380,0.012,2.9975
1.7400,0.018,2.9975
1.7420,0.016,2.9975
1.7440,0.01,2.9975
1.7460,0.016,2.9975
1.7480,0.008,2.9975
1.7500,0.012,2.997
1.7520,0.012,2.9975
1.7540,0.016,2.9975
1.7560,0.016,2.9975
1.7580,0.01,2.997
1.7600,0.004,2.9975
1.7620,0.004,2.9975
1.7640,0.016,2.9975
1.7660,0.018,2.9975
1.7680,0.016,2.9975
1.7700,0.01,2.9975
1.7720,0.01,2.9975
1.7740,0.008,2.9975
1.7760,0.008,2.9985
1.7780,0.008,2.9975
1.7800,0.018,2.997
1.7820,0.012,2.9985
1.7840,0.008,2.997
1.7860,0.02,2.9985
1.7880,0.004,2.997
1.7900,0.018,2.9975
1.7940,0.016,2.9975
1.7960,0.01,2.9985
1.7980,0.008,2.9985
1.8000,0.004,2.9975
1.8020,0.01,2.9975
1.8040,0.01,2.9975
1.8060,0.2,2.9975
1.8080,0.004,2.997
1.8100,0,2.997
1.8120,0.01,2.9975
1.8140,0.012,2.9975
1.8160,0.016,2.9975
1.8180,0.012,2.9975
1.8200,0.018,2.9975
1.8220,0.016,2.9975
1.8240,0.016,2.9975
1.8260,0.016,2.9975
1.8280,0.004,2.9975
1.8300,0.012,2.9975
1.8320,0.016,2.9985
1.8340,0.008,2.9975
1.8360,0.016,2.9985
1.8380,0.01,2.9985
1.8400,0.01,2.997
1.8420,0.016,2.9975
1.8440,0.01,2.9975
1.8460,0.012,2.997
1.8480,0.018,2.9975
1.8500,0.004,2.9975
1.8520,0.01,2.9975
1.8540,0.004,2.9975
1.8560,0.008,2.9985
1.8580,0.004,2.9985
1.8600,0.01,2.9975
1.8620,0.008,2.9975
1.8640,0.01,2.9985
1.8660,0.016,2.999
1.8680,0.018,2.9975
1.8700,0.018,2.9975
1.8720,0.016,2.9975
1.8740,0.01,2.997
1.8760,0.204,2.9975
1.8780,0.004,2.9975
1.8800,0.012,2.9985
1.8820,0.012,2.9975
1.8840,0.01,2.9975
1.8860,0.024,2.9985
1.8880,0.01,2.997
1.8900,0.018,2.9975
1.8920,0.01,2.997
1.8940,0.008,2.9975
1.8960,0.012,2.9975
1.8980,0.016,2.9975
1.9000,0.016,2.9975
1.9020,0.008,2.9975
1.9040,0.012,2.9975
1.9060,0.018,2.9975
1.9080,0.004,2.997
1.9100,0.016,2.9975
1.9120,0.012,2.997
1.9140,0.012,2.9985
1.9160,0.012,2.9985
1.9180,0.018,2.9975
1.9200,0.01,2.9975
1.9220,0.01,2.9975
1.9240,0.018,2.9975
1.9260,0.012,2.9975
1.9280,0.012,2.997
1.9300,0.018,2.9985
1.9320,0.008,2.9975
1.9340,0.018,2.997
1.9360,0.012,2.9975
1.9380,0.004,2.9975
1.9400,0.012,2.9975
1.9420,0.016,2.9975
1.9440,0.016,2.9985
1.9460,0.01,2.997
1.9480,0.01,2.9985
1.9500,0.016,2.9975
1.9520,0.01,2.9975
1.9540,0.016,2.997
1.9560,0.008,2.997
1.9580,0.016,2.9975
1.9600,0.01,2.9975
1.9620,0.008,2.9975
1.9640,0.01,2.9985
1.9660,0.016,2.9975
1.9680,0.018,2.9975
1.9700,0.012,2.997
1.9720,0.008,2.9985
1.9740,0.016,2.9975
1.9760,0.012,2.9975
1.9780,0.01,2.9985
1.9800,0.018,2.9975
1.9820,0.01,2.9975
1.9840,0.012,2.997
1.9860,0.01,2.997
1.9880,0.008,2.9975
1.9900,0.008,2.9975
1.9920,0.22,2.9975
1.9940,0.012,2.9985
1.9960,0.01,2.9975
1.9980,0.016,2.997
